"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","uri"
0.884,0.0662,0.366,0.0221,1.33e-06,0.547,0.562,"spotify:track:5fDj1YVNR04RtQNP4iYapO"
0.265,0.0787,0.0342,0.916,0.918,0.22,0.0775,"spotify:track:3fdY6ZVYtiHcrArNdvK3Ux"
0.738,0.0814,0.293,0.00017,0.033,0.591,0.28,"spotify:track:7HRlJLRVXULYmzNUjEmjKu"
0.729,0.0727,0.309,0.193,0.000151,0.769,0.646,"spotify:track:4DmABSFNyMwpzOo1UvK8Nz"
0.509,0.175,0.0367,0.678,0.936,0.471,0.0648,"spotify:track:4nr4gSTFGmTTSbumSY3kfH"
0.816,0.391,0.0391,0.000161,0.836,0.395,0.261,"spotify:track:0VxIcxjv4XaJvq8dBR49iT"
0.333,0.116,0.0342,0.0147,5.66e-06,0.493,0.04,"spotify:track:5nIu0VwPOsjkF61zfevLKh"
0.552,0.178,0.0317,0.206,0.0595,0.366,0.108,"spotify:track:0Y0pFPV5Y9OCxY5ZkcAE31"
0.46,0.687,0.21,0.0269,0,0.644,0.176,"spotify:track:5d8yMIlqJH78lwOUP7T3oF"
0.529,0.214,0.0959,0.0721,0,0.74,0.369,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4"
0.404,0.107,0.0286,0.391,0.758,0.194,0.1,"spotify:track:0LH1czgStqVxQavCeHsQN5"
0.159,0.101,0.0407,0.705,0.947,0.156,0.0317,"spotify:track:3bv0RZUTT1GccpYJT0GMMJ"
0.616,0.185,0.0348,0.0338,0.0133,0.331,0.147,"spotify:track:7FSQzuHaSL5I7fiUPzPlhM"
0.36,0.128,0.0333,0.728,0.94,0.164,0.0684,"spotify:track:32xIR66ZDqGqmeGs8rad4g"
0.524,0.191,0.0395,0.23,0.793,0.257,0.119,"spotify:track:1g0DteRubUEOCfNhfYWhuh"
0.4,0.117,0.0347,0.619,0.907,0.198,0.159,"spotify:track:2Bll4ZPDfscw6w5UzvHbmB"
0.306,0.121,0.0258,0.713,0.775,0.517,0.0766,"spotify:track:7kQOWc0I4Xbe96cTcStbIm"
0.684,0.113,0.0375,0.173,0.722,0.402,0.164,"spotify:track:7z4kdzenPC0HrFlr1Ot18V"
0.0805,0.0981,0.0417,0.96,0.947,0.203,0.036,"spotify:track:3NUOe3ggyQHXVFXnvXN6E3"
0.72,0.0924,0.0394,0.00962,0.858,0.635,0.333,"spotify:track:70kvCarK7HTVdgtTqyGHD3"
0.9,0.0981,0.0593,2.74e-06,0.823,0.176,0.277,"spotify:track:0gkkfUbuGoQ4nGblM1As5L"
0.65,0.113,0.188,0.038,0.128,0.648,0.214,"spotify:track:4NQ4fDehLC8QRTts4jXaYP"
0.693,0.271,0.0822,0.375,0.902,0.636,0.0358,"spotify:track:1n8iBMdJwFsziP6iojJwGf"
0.139,0.103,0.0412,0.886,0.89,0.0824,0.0351,"spotify:track:4lmJqmOgRKLTbMu623E0Bl"
0.971,0.149,0.0416,7.19e-05,0.901,0.411,0.198,"spotify:track:2gKbn3HaDjkV1mjBVO7WjT"
0.311,0.0532,0.0319,0.69,0.911,0.539,0.317,"spotify:track:4XiRjUElwREYMDh74caLKu"
0.772,0.482,0.0697,0.33,0.89,0.532,0.401,"spotify:track:3yd01RI9aQ27GYAuzJq3VR"
0.272,0.108,0.04,0.939,0.896,0.245,0.0382,"spotify:track:0fwahi2vF1hUKG82h0SYrG"
0.536,0.0874,0.0327,0.848,0.544,0.364,0.347,"spotify:track:3yZxLiYHDcvGCA41TbZjcx"
0.133,0.111,0.034,0.952,0.882,0.174,0.111,"spotify:track:7hiALMwjWvaaf93yU6LeX0"
0.194,0.093,0.0374,0.931,0.864,0.164,0.0872,"spotify:track:7cbBZqBwEzlKBIYPb1Cbf0"
0.396,0.0737,0.0373,0.0277,0.204,0.221,0.0683,"spotify:track:76wTgKMKsLpoUUm9Aw4tE4"
0.309,0.085,0.0279,0.785,0.955,0.322,0.183,"spotify:track:0WHMHuO5JPzJ8IZVjv3TL6"
0.136,0.0952,0.0388,0.92,0.876,0.0819,0.0363,"spotify:track:7Ctv7EaxCB5rrb2WEceWVY"
0.0831,0.0632,0.0363,0.957,0.937,0.185,0.129,"spotify:track:2xjyZVdSKjpd89qRFMnZtR"
0.907,0.0731,0.0763,0.427,0.736,0.263,0.211,"spotify:track:7qQbQHcQQCKA0kuqBPLjzL"
0.764,0.158,0.0315,0.011,0.0724,0.296,0.14,"spotify:track:2bHpNAMEsB3Wc00y87JTdn"
0.924,0.134,0.0924,0.00303,0.000116,0.57,0.377,"spotify:track:5LoaLyY7Z3RN6KgjcqBi8x"
0.718,0.0592,0.0688,0.000182,0.0891,0.751,0.171,"spotify:track:3TfJsT4fM3L5InlBcInPay"
0.678,0.0795,0.0469,0.000117,0.223,0.587,0.127,"spotify:track:6QBGMwu9ipwEfGT64dX8rY"
0.809,0.183,0.0302,0.114,0.000521,0.697,0.979,"spotify:track:5nNmj1cLH3r4aA4XDJ2bgY"
0.11,0.0961,0.0395,0.972,0.907,0.21,0.0365,"spotify:track:0isjUG0UsOh87u0eC8L4QF"
0.619,0.125,0.0366,0.195,0.124,0.353,0.0794,"spotify:track:3wFw7cWZTgfLBYalXFZQji"
0.911,0.0778,0.0383,0.0287,0.315,0.53,0.0799,"spotify:track:6o37YFFzOf6HEx1GUMyfF0"
0.493,0.111,0.105,0.00206,0.809,0.662,0.566,"spotify:track:4DXALiuDS8ZkL6tK49yTaA"
0.76,0.092,0.0401,0.014,0.408,0.581,0.144,"spotify:track:624z8inUNEfxWekoKw0OFg"
0.0651,0.0607,0.0387,0.961,0.93,0.232,0.0371,"spotify:track:0kznmyiS92b9v1rkn9WDqV"
0.376,0.104,0.04,0.806,0.84,0.195,0.142,"spotify:track:6ZUH3ijNfPKeeUmz6wMUYM"
0.803,0.298,0.0327,0.00861,7.14e-06,0.541,0.186,"spotify:track:4Pq53NLs0vBEQTAnpCeTTX"
0.785,0.11,0.0413,3.63e-05,0.812,0.366,0.152,"spotify:track:2tzt6biW79znRmQCLBSWhG"
0.0448,0.0965,0.0523,0.916,0.914,0.156,0.0821,"spotify:track:6L2qOC5H903Mo5YCVK6FkL"
