"liveness","speechiness","acousticness","instrumentalness","danceability","clustering"
0.138,0.036,0.696,0.925,0.0834,4
0.136,0.05,0.938,0.898,0.0708,4
0.211,0.0383,0.524,0.948,0.15,4
0.112,0.0404,0.649,0.911,0.146,4
0.0828,0.0369,0.547,0.909,0.164,4
0.0894,0.0384,0.662,0.948,0.152,4
0.109,0.04,0.849,0.567,0.0705,4
0.1,0.0436,0.992,0.706,0.123,4
0.277,0.04,0.941,0.926,0.137,4
0.127,0.0428,0.962,0.954,0.0944,4
0.115,0.0511,0.917,0.549,0.118,4
0.1,0.0388,0.941,0.0572,0.121,3
0.127,0.0492,0.971,0.985,0.183,4
0.262,0.0998,0.0101,0.0231,0.724,1
0.118,0.0333,0.332,0.864,0.486,2
0.197,0.347,0.229,0.631,0.359,5
0.0805,0.0451,0.141,0.848,0.727,2
0.96,0.0681,0.00879,0.00389,0.476,1
0.137,0.0546,0.762,0.000353,0.584,3
0.111,0.0458,0.345,0.907,0.18,5
0.104,0.0372,0.684,0.954,0.144,4
0.112,0.0352,0.039,0.855,0.279,5
0.0708,0.0553,0.000383,0.874,0.209,5
0.177,0.0363,0.0643,0.859,0.263,5
0.0918,0.0358,0.297,0.904,0.184,5
0.0734,0.0555,0.00302,0.369,0.108,5
0.0977,0.0445,0.282,0.912,0.166,5
0.0804,0.042,0.0351,0.834,0.512,2
0.136,0.0344,0.761,0.885,0.153,4
0.12,0.0327,0.0406,0.844,0.248,5
0.111,0.0478,0.0000548,0.944,0.43,2
0.146,0.0373,0.672,0.88,0.178,4
0.0867,0.0432,0.271,0.886,0.18,5
0.0865,0.0498,0.915,0.945,0.17,4
0.17,0.034,0.000644,0.218,0.343,1
0.122,0.0348,0.259,0.879,0.0871,5
0.136,0.0392,0.89,0.881,0.337,4
0.115,0.027,0.0643,0.865,0.41,5
0.0849,0.0309,0.501,0.891,0.246,5
0.0932,0.0448,0.107,0.878,0.184,5
0.0567,0.0387,0.96,0.86,0.108,4
0.11,0.0499,0.716,0.827,0.679,4
0.108,0.0442,0.00832,0.907,0.425,2
0.202,0.0318,0.0788,0.0000384,0.337,1
0.26,0.265,0.359,0.0000276,0.509,1
0.256,0.438,0.0701,0,0.62,1
0.809,0.313,0.403,0,0.712,1
0.136,0.443,0.0665,0,0.682,1
0.0981,0.0276,0.0045,0.905,0.677,2
0.294,0.0379,0.0114,0.803,0.582,2
0.0794,0.0409,0.26,0.956,0.443,5
0.15,0.0328,0.113,0,0.362,1
0.0959,0.0307,0.0305,0.911,0.795,2
0.0705,0.0439,0.704,0.904,0.727,4
0.0555,0.0517,0.000233,0.298,0.614,1
0.168,0.0893,0.00425,0.594,0.731,2
0.107,0.0464,0.715,0.925,0.284,4
0.102,0.0348,0.239,0.0041,0.509,1
0.111,0.0433,0.135,0.741,0.715,2
